c5,remark,,,,,,,,
20190111000189A,"THE FLIGHT WAS CONDUCTED UNDER 14 CFR 91 AS AN AIRCRAFT REPOSITIONING FLIGHT, VISUAL FLIGHT RULES. THE PILOT AND ONE CABIN CREWMEMBER WERE NOT INJURED AS A RESULT OF THIS ACCIDENT. THERE WAS NO POST-CRASH FIRE. THERE WAS NO INDICATIONS OF ANY AIRFRAME OR POWERPLANT ABNORMALITIES NOTED DURING OPERATION OF THE AIRCRAFT. THE PILOT STATED THAT HE ARRIVED AT THE PONCA CITY, OK AIR EVAC BASE 128 AT 07:13 AM.  THE WEATHER WAS FORECASTED TO GO BELOW MINIMUMS ABOUT NOON FOR AT LEAST 24 HOURS.  PILOT STATED THAT HE DECIDED TO RELOCATE THE HELICOPTER FROM THE PONCA CITY HOSPITAL PAD TO THE PONCA CITY MUNICIPAL AIRPORT.  THE PILOT STATED THE LOCAL WEATHER WAS 3 MILES (VISIBILITY) AND 900? BROKEN CEILING.  ",,,,,,,,
PILOT STATED THAT HE RECEIVED A PHONE CALL FROM THE COMPANY OPERATIONS CENTER CONCERNING THE TEMPERATURE SHOWING 37.9 DEGREES AND LIGHT RAIN.  PILOT STATED THE HE AND OPERATIONS CENTER AND AGREED IT WOULD BE WITHIN COMPANY SAFETY REQUIREMENTS TO COMPLETE THE 2 MILE FLIGHT. ,,,,,,,,,
"THE PILOT STATED THE STARTUP SEQUENCE WAS NORMAL.  PILOT STATED THAT THEY SAT RUNNING AT IDLE FOR ABOUT 5 MINUTES FOR THE ENGINE OIL TO WARM UP.  PILOT STATED THAT HE THEN BROUGHT THE ENGINE UP TO FULL OPERATING RPM AND TURNED ON THE HEAT AND THE DEMISTER.  AFTER COMPLETING THE CHALLENGE/RESPONSE CHECKLIST, PILOT DID A HOVER CHECK AND DEPARTED ON A NORTH EAST HEADING. ABOUT HALF WAY TO THE AIRPORT, THE PILOT STATED THAT HE INCREASED THE DEMISTER BECAUSE BOTH OF THE FRONT WINDSHIELDS WERE FOGGING OVER.  THE PILOT STATED THAT HE FLEW STRAIGHT TO THE SOUTH END OF THE AIRPORT AND MADE A RADIO CALL ON UNICOM BEFORE CROSSING THE RUNWAY.",,,,,,,,,
"THE PILOT STATED THAT HE HOVERED TO THE FRONT OF THE COMPANY HANGER AND TURNED THE HELICOPTER TO FACE NORTH.  BY THIS TIME THE RAIN HAD INCREASED, AND THE WINDSHIELD HAD COMPLETELY FOGGED OVER.  CREW MEMBER STATED TO HIS PILOT  THAT HE WAS GETTING TO CLOSE TO THE HANGER ON THEIR LEFT SIDE.  PILOT STATED THAT HE WAS LOOKING OUT THE LEFT CHIN  BUBBLE AND HOVERING TO THE RIGHT.  THE PILOT STATED HE WAS WATCHING IN FRONT OF OUR FUEL TRAILER WHICH WAS SEVERAL FEET LOWER THAN WHERE I WAS HOVERING.  PILOT STATED THAT HE FELT THAT HE WAS AT A HIGH ENOUGH HOVER TO MOVE THE AIRCRAFT SEVERAL FEET TO OUR RIGHT. PILOT STATED THAT THE RIGHT SKID WAS TOO LOW AND CONTACTED THE GROUND WHICH RESULTED IN A DYNAMIC ROLLOVER.  IN A VERY SHORT AMOUNT OF TIME, LESS THAN 2 SECONDS, THE MAIN ROTOR CONTACTED THE GROUND CAUSING THE HELICOPTER TO ROLL OVER ON IT?S RIGHT SIDE AND TURN 45 DEGREES TO THE LEFT.  AFTER THE MAIN AND TAIL ROTOR BLADES SHREDDED, LESS THAN 10 SECONDS, PILOT STATED THAT HE CLOSED THE FUEL CONTROL VALVE, FUEL SHUTOFF VALVE, AND TURNED OFF THE BATTERY SWITCH.  THE ROTOR BLADES WERE DESTROYED, THE TAIL BOOM TWISTED, AND THE FRONT OF THE LEFT SKID BENT, BUT THE CABIN AREA WAS UNDAMAGED. NOTE: THERE WAS NO ON-SCENE INVESTIGATION OF THIS ACCIDENT DUE TO THE SHUTDOWN OF THE FEDERAL GOVERNMENT.",,,,,,,,,
20190111007479A,"ON JANUARY 11, 2019 A BELL HELICOPTER 47 G-2 (N3755Z) REGISTERED TO ERNIE L. BROWN, DEPARTED BELEN REGIONAL AIRPORT (BRG) IN BELEN, NM FOR A LOCAL VFR FLIGHT. THE PILOT ATTEMPTED TO HOVER OUT-OF-GROUND- EFFECT AND THE MAIN ROTOR RPM DECAYED WITH THE HELICOPTER SUFFERING A HARD LANDING RESULTING IN SUBSTANTIAL DAMAGE WITH NO INJURIES.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
THIS REPORT IS REFILED  DUE TO INCORRECT REPORT NUMBER (ACE0119016 VS ASW) AND INCORRECT FAA OFFICE (CE 01 VS SW).,,,,,,,,,
20190111009459I,"ON JANUARY 11, 2019 A PA 30 WHILE LANDING AT THE BELLINGHAM WA. AIRPORT ON RUNWAY RY34 UNINTENTIONALLY  EXITED THE WEST SIDE OF THE RUNWAY APPROXIMATELY 1500FT FROM THE THRESHOLD. THE AIRCRAFT RECEIVED MINOR DAMAGE TO THE RIGHT WINGTIP AND THE RIGHT PROPELLER STRUCK THE GROUND. THE STUDENT PILOT AND THE INSTRUCTOR WERE PRACTICING ENGINE OUT LANDING PROCEDURES. THE INSTRUCTOR STATED THAT DURING THE SINGLE ENGINE APPROACH HE PULLED THE MIXTURE CONTROL TO CUT OFF DURING FINAL. THE AIRCRAFT HAD FULL  RUDDER TRIM APPLIED TO ASSIST WITH THE YAW FOR THE SINGLE ENGINE AND WHEN THE AIRCRAFT LANDED THE AIRCRAFT PULLED HARD TO THE RIGHT AND WENT INTO THE GRASS. NO INJURIES OCCURRED.",,,,,,,,
20190112000199A,"AIRCRAFT WAS WITNESSED AS ENTERING FINAL APPROACH FOR LANDING AND ROTATED TO THE LEFT, NOSE OF AIRCRAFT SUDDENLY DROPPED AND CRASHED INTO TREES.",,,,,,,,
20190112007569I,"ON JANUARY 12, 2019 AT APPROXIMATELY 1224 CST, N6872U A MOONEY M20C AIRPLANE, REGISTERED TO ^PRIVACY DATA OMITTED^ AND OPERATED BY AN AIRLINE TRANSPORT PILOT, DEPARTED TYLER, TX (TYR) TO TEXARKANA, AR (TXK) ON A VFR FLIGHT WITH ATC FLIGHT FOLLOWING, EXPERIENCED A LANDING GEAR COLLAPSE DURING LANDING.  ON FINAL APPROACH TO TXK RUNWAY 31, LANDING GEAR WAS VERIFIED GREEN LIGHT AND FLAPS SET FOR LANDING.  AIRCRAFT EXPERIENCED SOME AIR TURBULENCE PRIOR TO LANDING, UPON TOUCH DOWN THE LANDING GEAR EXTENSION CONTROL SNAPPED OUT OF THE INSTRUMENT PANEL LOCK AND THE LANDING GEAR COLLAPSED. THE AIRCRAFT SUSTAINED MINOR DAMAGE AND THERE WERE NO INJURIES.",,,,,,,,
20190112010909I,"N6919V A MOONEY MODEL M20A PIC DECALRED AN EMERGECNY LANDING DUE TO EXPERIENCING FAILURE OF GEAR RETRATIONS HE THEN LANDED WITH THE GEAR COLLAPSE ON RUNWAY THREE-FIVE LEFT.  PASSENGERS ON BOARD 2, NO INJURIES REPORTED.  THE AIRCRAFT RECEIVED MINOR DAMAGE.  1705Z.",,,,,,,,
20190112017349A,"ON FINAL FOR RUNWAY 35 AT OX RANCH, 01TX, AT 50FT ABOVE TOUCHDOWN PILOT RETARDED THE THROTTLES TO IDLE AND AT THAT TIME ENCOUNTERED WIND SHEAR, 50KT LOSS OF AIRSPEED. THE AIRSPEED DROPPED RAPIDLY AND THE WIND SHEAR VIOLENTLY FORCED THE AIRCRAFT DOWN ONTO THE RUNWAY FROM LEFT TO RIGHT. WITH MAX LEFT CONTROL CORRECTIONS, PILOT UNLOCKED THE THRUST REVERSERS, APPLIED BRAKES AND REACHED TO GET GROUND SPOILERS DEPLOYED. AT THAT TIME, PILOT STATED THAT IT FELT LIKE THE RIGHT GEAR COLLAPSED. FURTHER CONTROL INPUTS GAVE NO RESPONSE NOR DID THE TILLER. THE AIRCRAFT ENDED UP SLIDING IN THE GRASS AND THROUGH A FENCE BEFORE COMING TO A STOP SOME DISTANCE FROM THE RUNWAY. AFTER STOPPED, THE CO-PILOT OPENED THE DOOR AND EVACUATED THE 8 PASSENGERS OUT OF THE AIRCRAFT. PILOT RAN THE APPROPRIATE CHECKLIST FOR THE SITUATION AND EXITED THE AIRCRAFT. NO INJURIES WERE REPORTED AT THE TIME. NO POST-CRASH FIRE. THE RIGHT MAIN GEAR DID COLLAPSE PUSHING THE MECHANISM UP THROUGH THE WING. THE FENCING DAMAGED THE WINGS AND HORIZONTAL AND VERTICAL STABILIZERS SIGNIFICANTLY.",,,,,,,,
20190113000209A,"ON JANUARY 13, 2019 AT 14:25 CENTRAL STANDARD TIME A 1976 PIPER PA28-181, REGISTERED TO ^PRIVACY DATA OMITTED^ IMPACTED TERRAIN DURING A PERSONAL PLEASURE FLIGHT. VMC METEOROLOGICAL FLIGHT CONDITIONS PREVAILED. NO FLIGHT PLAN WAS FILED. THE AIRCRAFT WAS DESTROYED AND THE ONE SOLE ON BOARD SUFFERED FATAL INJURIES. THE PILOT HELD A PRIVATE PILOT CERTIFICATE. THE FLIGHT ORIGINATED IN MITCHELL, SD (MHE) ON JANUARY 13, 2019 AT APPROXIMATELY 13:55 LOCAL.",,,,,,,,
20190113000229A,"UPON CLIMB OUT DOOR OPENED AND PILOT ATTEMPTED TO CLOSE THE DOOR WHEN SUDDENLY THE AIRCRAFT LOST POWER AND PILOT INDUCED CONTROLLED CRASH. PILOT STATEMENT REVEALED AFTER ENGINE FALTERED, HE NOTICED LH WING FUEL GAUGE READ FULL WHICH HE BELIEVED TO BE INCORRECT AND RIGHT WING FUEL GAUGE READ EMPTY.",,,,,,,,
20190113003779A,"TOOK OFF FROM ADG, APPROX. 1630L, FROM RUNWAY 5, WITH 1 PAX, THE MECHANIC FOR A POST ANNUAL FLIGHT.",,,,,,,,
"THEY FLEW NORTH, BETWEEN JAX (JACKSON, MI) AND LAN (LANSING, MI), THEN PROCEEDED SOUTHWEST TO KOEB (COLDWATER, MI) THEN NEAR KJYM (HILLSDALE, MI) BACK TO ADG FOR A LANDING. ENTERING ADG AIRSPACE, HAD TO HOLD FOR AIRCRAFT ON INSTRUMENT APPROACH. PILOT SETUP FOR LANDING, WITH GEAR DOWN, FLAPS AND 14? MANIFOLD PRESSURE, FOR RUNAWAY 5. ON SHORT FINAL, ENGINE SHUTOFF. NO ?SPUTTER? PILOT STATED ?IT ACTED AS IF SOMEONE SHUTOFF THE KEY?. AIRCRAFT CRASHED SHORT OF RUNWAY IMPACTING THE GROUND, SLIDING INTO AIRPORT BARRIER FENCE.",,,,,,,,,
PASSENGER HAD MINOR INJURIES.,,,,,,,,,
20190113007579A,"AIRCRAFT CRASHED SHORTLY AFTER TAKE OFF FROM KINGMAN AIRPORT.  PASSENGER WAS FATAL, PIC WAS SERIOUS INJURY.  PIC HOLDS STUDENT PILOT CERTIFICATE.  PIC NON RESPONSIVE TO REQUESTS FOR INFORMATION.  AIRCRAFT TEAR DOWN TO BE CONDUCTED AT A LATER DATE.  RTP, MARKED PILOT INDUCED AT THIS TIME. WE WILL MAKE AN AMENDMENT AFTER THE TEAR DOWN IS COMPLETED.",,,,,,,,
20190114007589I,"ON JANUARY 14, 2019, AT APPROXIMATELY 14:00 LCL, A BEECHCRAFT BONANZA V35B, N9487Q, DEPARTED THE PAVED SURFACE AREA OF A TAXIWAY AT LA CHOLLA AIRPARK (PRIVATE AIRFIELD) AFTER HAVING LANDED ON RUNWAY 01.",,,,,,,,
,,,,,,,,,
THE PILOT INVOLVED REPORTED THAT THE TAXIWAYS AT THIS AIRFIELD ARE NARROW AND THAT THEY WERE WET ON THAT DAY (DUE TO RAIN THE NIGHT PRIOR). THE PILOT STATED THAT HE HAD A MOMENT OF INATTENTION AND THAT HIS RIGHT MAIN GEAR LEFT THE TAXIWAY INTO THE DIRT AND DUG IN. THIS LED TO THE AIRCRAFT VEERING OFF THE TAXIWAY. THE AIRCRAFT CAME TO A STOP AT A PERPENDICULAR ANGLE FROM THE TAXIWAY HAVING STRUCK SOME BUSHES.,,,,,,,,,
,,,,,,,,,
A BRANCH FROM A BUSH CAUSED A DENT IN THE LEADING EDGE OF THE LEFT WING (NO PUNCTURES). THE AIRCRAFT WAS TOWED BACK ONTO THE TAXIWAY WHERE THE PILOT RESTARTED THE AIRPLANE AND TAXIED IT TO HIS HANGAR. THE PILOT WAS ALONE AND NO INJURIES OR MECHANICAL DISCREPANCIES WERE REPORTED.,,,,,,,,,
20190115000219A,"PILOT INITIATED APPROACH AT 2.2NM OUT HIGH, (U42): PULLED THROTTLE BACK TO REDUCE RPM, ENGINE DID NOT RESPOND AND REMAINED AT 2400-2500 INDICATED RPM.  PILOT CYCLED THROTTLE SEVERAL TIMES ATTEMPTING TO REDUCE RPM ? ENGINE DID NOT RESPOND.  INITIATED ?GO-AROUND? AND PUSHED THROTTLE IN TO FULL POWER AT WHICH TIME THE ENGINE SUDDENLY DECREASED TO 1500 RPM.  PILOT INITIATED A RIGHT BANK IN AN ATTEMPT TO LAND ON A ROAD PERPENDICULAR TO THE RUNWAY. UPON LANDING THE AIRCRAFT DRIFTED TO THE LEFT THE ROAD THEN CONTACTED THE SIDEWALK CURB WHICH SHEARED THE LANDING GEAR, DAMAGED THE PROPELLER AND PARTS OF THE FUSELAGE.",,,,,,,,
20190115007609I,"DURING FINAL APPROACH INTO MIAMI EXECUTIVE AIRPORT (KTMB) TO RUNWAY 27L ON JANUARY 15, 2019 AT APPROXIMATELY 2000 LOCAL TIME, THE PILOT OF N225KT, A 1993 MOONEY M20M, SERIAL NUMBER 27-0165, STATED THAT WHEN HE SELECTED GEAR DOWN HE HEARD A POP AND THE COCK PIT LIGHTING WENT DARK INCLUDING THE GEAR INDICATION. THE PILOT DECIDED TO CONTINUE THE APPROACH IN AND COMMITTED THE LANDING BECAUSE IT WAS DARK AND HE COULD NOT SEE ANY OF HIS INSTRUMENTS AND WAS NOT SURE THAT WHAT POSITION THAT THE GEAR WAS AT. PRIOR TO LANDING THE PILOT HEARD AN ALARM SOUND BUT DID NOT KNOW IF IT WAS THE STALL WARNING OR GEAR WARNING. AS HE FLARED THE AIRCRAFT THE PILOT HEARD SCRAPPING SOUNDS AND THE PROPELLER STRUCK THE RUNWAY AND THE AIRCRAFT SLID TO A STOP.",,,,,,,,
20190115007629I,"ON 01/15/2019, N899CZ (BE-99) WAS CONDUCTING A FAA PART 135 CHECK RIDE AND REQUESTED RUNWAY 19R AT KMKE (MILWAUKEE, WI). THE APPROACH/ LANDING WAS A SIMULATED ENGINE OUT. PRIOR TO TOUCHDOWN, THE PIC, WHILE PERFORMING HIS DUTIES AS A PART 135 CHECK AIRMEN, STATED THAT THE AIRCRAFT APPEARED TO BE IN AN UNSAFE CONDITION TO LAND AND REQUESTED A GO AROUND TO THE PART 135 STUDENT/ APPLICANT (SIC). THE LANDING GEAR WAS RETRACTED ON SHORT FINAL AND POWER WAS APPLIED. THE AIRCRAFT DID NOT RECOVER AND ESTABLISH A POSITIVE RATE OF CLIMB. THE AIRCRAFT CAME TO REST ON THE BELLY POD MOUNTED ON THE UNDERSIDE OF THE FUSELAGE AND SKIDDED DOWN THE RUNWAY TO A STOP. NO INJURIES WERE REPORTED.",,,,,,,,
20190116000239A,"PILOT WAS FLYING ALONG MISSOURI RIVER AROUND 800' AGL. UPON CROSSING AN ISLAND KNOWN TO BE A GOOD LANDING SPOT HE TURNED BACK AROUND AND FLEW LOWER TO CHECK IT OUT. ONCE LOWER, HE EXPERIENCED CARB ICING AND REALIZED HE WASN'T ABLE TO BURN IT OFF WITH THE CARB HEAT. HE EXPERIENCED POWER REDUCTION AND DECIDED TO MAKE A PRECAUTIONARY LANDING ON THE ISLAND. ON ARRIVAL HE FOUND HIMSELF A LITTLE TOO FAST AND AFTER HE TOUCHED DOWN HE APPLIED HEAVY BRAKING TO AVOID THE WATER. THIS CAUSED HIS MAINS TO DIG INTO THE SAND AND THE AIRCRAFT THEN SLOWLY WHEN UP ONTO ITS NOSE BEFORE FINALLY ROLLING ONTO ITS BACK.",,,,,,,,
20190116007649I,"ON JANUARY 16, 2019, AT 1245 CDT, A CESSNA 240 BEARING REGISTRATION NUMBER N468PA, REGISTERED TO AN INDIVIDUAL STRUCK A RUNWAY SIGN AFTER LANDING ON RWY 18. AT GUYMON MINI (KGUY) AIRPORT IN GUYMON OK.  THE AIRCRAFT WAS BEING OPERATED ON A PERSONAL FLIGHT.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND A VFR FLIGHT PLAN WAS NOT FILED.  THE AIRCRAFT SUFFERED MINOR DAMAGE , AND THE PILOT WAS NOT INJURED.  THE FLIGHT ORIGINATED FROM GILLETTE?CAMPBELL COUNTY (KGCC) AIRPORT ON JANUARY 16, 2019, AT 0800 MST.",,,,,,,,
20190117000249A,DURING VFR PERSONAL FLIGHT THE PRIVATE PILOT DECLARED AN EMERGENCY AND CONTINUED TO FLY TOWARDS T82.,,,,,,,,
N2021T ATTEMPTED AN OFF FIELD LANDING APPROXIMATELY 1/2 MILE FROM THE RUNWAY. THE AIRCRAFT STRUCK A DIRT BERM SHORT OF A LEVEL FIELD BOUNCING ONTO AND ACROSS A STREET. THE AIRCRAFT BECAME FULLY INVOLVED IN FIRE AND WAS DESTROYED,,,,,,,,,
20190117000259A,"ELLENSBURG (KELN) ELEVATION 1763' MSL, REPORTED METAR WEATHER AS: 13003KT 4SM BR OVC014 02/00. N14372 DEPARTED RWY 29. WITNESS STATEMENT REVEALED THAT THE PILOT WAS DEPARTING FOR HIS HOME AIRPORT OF YKM. NO WEATHER BRIEFING WAS RECEIVED FROM 800WXBRIEF. NO FLIGHT PLAN WAS FILED. PER FLIGHTRADAR24 TRACK, N14372 DEPARTED AND TURNED TO THE SOUTH WHILE CLIMBING DIRECTLY TO 5000 MSL. N14372 CONTACTED CHINOOK APPROACH AND STATED THAT HE WAS BETWEEN LAYERS AND REQUESTED VECTORS TO THE ILS IN YKM. CHINOOK APPROACH ISSUED SQUAWK CODE AND IT WAS NOT READ BACK BY THE PILOT. NO FURTHER RADIO CONTACT WAS MADE. FLIGHTRADAR24 TRACK SHOWED AIRCRAFT DESCENDED AT APPROXIMATELY 177KTS + FROM 5000' MSL TO THE END OF THE FLIGHT TRACK. AIRCRAFT APPEARED TO HAVE IMPACTED THE GROUND AT HIGH ENERGY AND APPROXIMATELY 75 DEGREES NOSE DOWN. BOTH ENGINES, PROPELLORS AND ALL FLIGHT CONTROL SURFACES WERE LOCATED IN THE CRASH DEBRIS FIELD.",,,,,,,,
20190117007659I,"UPON ARRIVAL AT LANSING,MI (KLAN), THE PILOT WAS CLEARED TO LAND AND BEGAN HIS PRE-LANDING CHECKLIST.  UPON SELECTING THE GEAR SWITCH TO THE  DOWN POSITION,  HE HEARD A LOUD ""BANG"" NOISE THAT SOUNDED LIKE IT CAME FROM THE NOSE WHEEL WELL.  AFTER A FEW SECONDS, THE MAIN GEAR LIGHTS WERE ILLUMINATING GREEN, INDICATING DOWN AND LOCKED, BUT THE NOSE GEAR LIGHT WAS UNLIT, AND THE RED ""GEAR IN TRANSIT"" LIGHT WAS STILL ILLUMINATED.  AT THIS TIME, THE PILOT REQUESTED THAT THE KLAN TOWER ALLOW HIM TO PERFORM A FLYBY, TO DETERMINE IF THEY COULD SEE THE NOSE GEAR.  UPON FLYBY OF THE TOWER, AIR TRAFFIC PERSONNEL INFORMED HIM THAT THEY COULD NOT SEE THE NOSE GEAR.",,,,,,,,
,,,,,,,,,
"AT THIS TIME THE PILOT SELECTED GEAR UP ON THE GEAR SELECTOR, WHICH FULLY RETRACTED THE GEAR AND EXTINGUISHED THE GEAR IN TRANSIT LIGHT.  ONCE THE GEAR WAS RETRACTED, THE PILOT OBSERVED THAT THE AIRCRAFT WAS FLYING NORMALLY, WITH NO ADVERSE FLIGHT CHARACTERISTICS.  AT THIS TIME HE INFORMED THE TOWER THAT HE WOULD LIKE TO DEPART TO THE NORTH AND RECEIVE FLIGHT FOLLOWING.  HE THEN PROCEEDED NORTH TOWARDS GAYLORD, MI (KGLR), MAINTAINING VFR THROUGHOUT THE ENTIRE LENGTH OF THE FLIGHT.  ",,,,,,,,,
,,,,,,,,,
"UPON ARRIVAL AT KGLR, THE PILOT WAS ABLE TO COMMUNICATE WITH THE COMPANY DIRECTOR OF MAINTENANCE, AND UPDATE HIM ON THE STATUS OF THE AIRCRAFT.  AT THIS TIME, THE PILOT ONCE AGAIN WENT THROUGH THE PRE-LANDING CHECKLIST, AND UPON SELECTING THE GEAR DOWN, HE RECEIVED THE SAME INDICATIONS AS BEFORE (TWO GREEN LIGHTS FOR THE MAINS, BUT NO LIGHT FOR THE NOSE, AND THE TRANSIT LIGHT STILL ILLUMINATED)  AFTER THIS, HE PROCEEDED TO TRY AND PERFORM THE EMERGENCY GEAR EXTENSION AS PER THE EMERGENCY CHECKLIST. AFTER COMPLETION OF THE CHECKLIST, THE NOSE GEAR INDICATION WAS STILL NOT ILLUMINATED, NOR VISIBLE FROM THE GROUND CREW.  ",,,,,,,,,
,,,,,,,,,
"AFTER RECEIVING THE OK FROM ALL THE GROUND CREW, HE PROCEEDED TO LAND ON RUNWAY 27.  UPON TOUCHDOWN, HE HELD THE NOSE OFF FOR AS LONG AS POSSIBLE WHILE MAINTAINING DIRECTIONAL CONTROL OF THE AIRCRAFT.  ONCE THE NOSE OF THE PLANE TOUCH THE GROUND, HE PULLED BOTH ENGINE MIXTURES.  UPON STOPPING, THE PILOT SHUT OFF ALL POWER TO THE AIRCRAFT AND SELECTED BOTH FUEL SELECTORS TO OFF, AND EXITED THE AIRCRAFT.",,,,,,,,,
20190117007669I,"PART 141 ENDEAVOUR FLIGHT TRAINING INC. (1V6S) FLIGHT SCHOOL OPERATING CE-172S, N1333E STRUCK A BIRD AT 1500 FEET 8 MILES WEST-NORTHWEST OF OPF CAUSING DAMAGE TO THE LEFT WING. AIRCRAFT LANDED WITHOUT INCIDENT, STUDENT PILOT AND CERTIFIED INSTRUCTOR ON BOARD NO INJURIES REPORTED.",,,,,,,,
20190117007679I,"TALLAHASSEE, FL. N5973W, PA28, EXPERIENCED AN EXHAUST PIPE FIRE ON START UP. FIRE EXTINGUISHER WAS USED TO EXTINGUISH FIRE. AIRCRAFT WAS ON RAMP PRIOR TO INTENDED DEPARTURE. POB: 2, NO INJURIES, MINOR AIRCRAFT DAMAGE.",,,,,,,,
20190118000269A,"THE PILOT TOOK OFF TO DO PRACTICE PATTERN WORK AND GET USED TO THE AIRCRAFT.  ON HIS FIFTH TRAFFIC PATTERN, HE CAME IN WITH TOO MUCH SPEED AND BALLOONED.  HE THEN WAS HIGH AND SLOW, AND LOWERED THE NOSE WITH EITHER THE CONTROLS OR BY ADDING POWER, WHICH IN A PUSHER-PROP WOULD CAUSE THE NOSE TO GO DOWN.  HE STRUCK THE RUNWAY HARD AND BROKE THE NOSE GEAR.  HE THEN SETTLED TO THE RUNWAY AND SPUN OUT INTO THE GRASS.  HE DISLOCATED HIS ANKLE AND WAS TAKEN TO THE HOSPITAL.  THE AIRCRAFT SUFFERED SUBSTANTIAL DAMAGE.",,,,,,,,
20190118000279A,"ON JANUARY 18, 2019 A HOLDER OF PRIVATE PILOT CERTIFICATE WAS PILOT IN COMMAND OF AN AIRCRAFT ACCIDENT INVOLVING N6497P A 1959 PIPER COMMANCHE (PA-24-250). THE ACCIDENT OCCURRED APROXIMATELY 1 MILE NE OF BEECHWOOD, WI (GPS COORDINATES ARE N43.605320, W88.109293) IN A ROLLING OPEN FIELD. THE PILOT WAS THE SOLE OCCUPANT ONBOARD THE VFR FLIGHT (NO FLIGHT PLAN) FROM BURLINGTON MUNICIPAL (KBUU), BURLINGTON, WI TO OCONTO MUNICIPAL (KOCQ) OCONTO, WI. ",,,,,,,,
,,,,,,,,,
"THE PILOT STATED THAT HE WENT TO BED ON JANUARY 17, 2018 AT 2030 AND WOKE UP ON JANUARY 18, 2018 AT 0530. THE PILOT STATED HE FELT GOOD AND WAS NOT TAKING ANY MEDICATION. THE PURPOSE OF THE FLIGHT TO KBUU WAS TO GET A SMALL OIL LEAK AND TRANSPONDER CONCERN LOOKED AT BY MAINTENANCE IN KBUU. HE WENT  TO THE KOCQ AT APPROXIMATELY 1130 AND PREFLIGHT THE AIRCRAFT. THERE WAS APPROXIMATELY 30 GALLONS OF FUEL ON THE LEFT AND 22 GALLONS ON THE RIGHT. THE AIRCRAFT BURNS APPROXIMATELY 11 GALLONS/ HOUR. A WEATHER BRIEFING WAS CONDUCTED VIA COMPUTER AND THE APP WINDY. HIS RUNUP WAS NORMAL AND THE FLIGHT TO KBUU WENT UNEVENTFUL. ",,,,,,,,,
,,,,,,,,,
AFTER COMPLETING THE MAINTENANCE THE PILOT PREFLIGHTED THE AIRCRAFT (FUEL ON BOARD LEFT 24 GALLONS AND RIGHT 12 GALLONS) AT APPROXIMTELY 1430. A NORMAL RUNUP OCCURED AND THE AIRCRAFT TOOK OFF FROM KBUU FOR KOCQ. WHILE AT CRUISE AT 3000' THE PILOT WAS REMINDED BY HIS IFLY APP THAT IT WAS TIME TO SWITCH TANKS FROM LEFT TO RIGHT. WHILE SWITCHING TANKS HE NOTICED THAT THE CARB TEMPERATURE GAUGE WAS COOLING AND IN THE YELLOW ARC AND MOVING TOWARDS RED (GETTING COLDER). AT THE SAME TIME HE NOTICED THAT  ,,,,,,,,,
THE ENGINE WAS BEGINING TO LOOSE POWER AND THAT THE RPMS WERE FALLING OFF. HE PUSHED THE PROPELLER TO ,,,,,,,,,
"FULL, THE MIXTRURE TO FULL RICH, PULLED CARB HEAT ON, SWITCHED FUEL TANKS, FUEL PUMP ON, AND SWITCHED MAGNETOS. HE DID NOTICE THAT AFTER THE APPLICATION OF CARB HEAT THE ENGINE ROUGHNESS GOT WORSE, HE THEN PUSHED CARB HEAT BACK IN (COLD) AND THE ENGINE SEEMED TO RUN SMOOTHER, ONLY TO CONTINUE TO LOOSE POWER. ",,,,,,,,,
,,,,,,,,,
"WHILE DESCENDING THE ONCE AGAIN SWITCHED FUEL TANKS BACK TO THE RIGHT AND APPLIED CARB HEAT. ONCE AGAIN THE ENGINE ROUGHNESS RETURNED AND THE AIRCRAFT HAD DESCENDED DOWN TO APPROXIMATELY 1200 FEET. HE HAD PICKED OUT 2 LANDING AREAS (A ROAD AND A FIELD) AND PITCHED FOR BEST GLIDE SPEED OF 100 MPH. HE NOTICED THAT THERE WERE POWERLINES SO ELECTED TO LAND IN THE FIELD. SINCE THE FIELD APPEARED TO BE ROUGH HE DECIDED TO LAND WITH THE GEAR IN THE UP POSITION. FIRST CONTACT WITH THE GROUND WAS LIGHT AND TAIL LOW, SECOND CONTACT WAS HARD AND THE FRONT OF THE AIRCRAFT DUG IN CAUSING DAMAGE TO THE FIREWALL AREA. NO POST CRASH FIRE OCCURRED AND THE PILOT SUFFERED MINOR INJURIES. ",,,,,,,,,
,,,,,,,,,
"THE PILOT RECEIVED HIS PRIVATE PILOT CERTIFICATE ON 09/11/2018. HE HAS A 3RD CLASS MEDICAL CERTIFICATE WHICH WAS RECEIVED ON 07/25/2017. HE HAS LOGGED APPROXIMATELY 200 HOURS TOTAL TIME, 120 HOURS IN THE LAST YEAR, 55 HOURS IN THE LAST 90 DAYS AND 20 HOURS IN MAKE AND MODEL. HE WAS SIGNED OFF FOR COMPLEX AND HIGH PERFORMANCE 01/06/2019 IN ESCANABA, MI (KESC).",,,,,,,,,
