c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20191112023369I,I,91,   , ,2019,11,12,20191112,15,9, , , , , , ,   ,1L72,1,L,7,2,3O  , , ,TR,  ,  ,224520,2336, , , , ,98904,CESSNA,310R        ,      ,        ,  ,STRD,,* ,  ,CONT M,IO 520 SERIES,      ,        ,  ,     ,GL,GL15,MN,ANOKA          ,ANOKA COUNTY-BLAINE ARPT(JANES,,ANE ,,,45 08N,93 12W,,,,,,,,,,,,ANE ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200831,20201020,3,N,,,,,,2091,,210,4295,,,,"PILOT LOWERED THE GEAR HANDLE, HEARD AND FELT A SNAP UNDER THE SEAT, DID NOT GET A NOSE DOWN GEAR INDICATOR LIGHT (",PRO AIRE CARGO                ,  ,W1XA,           ,  ,    ,      ,                    ,32, , , ,  , , , ,  ,LT,M, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,3230,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19580817,, ,
20191126023349I,I,91,   , ,2019,11,26,20191126,1615,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224518,2334, , , , ,7447P,PIPER ,PA-24       ,      ,        ,  ,STRD,,* ,  ,LYCOMI,O&VO-360 SER ,      ,        ,  ,     ,EA,EA07,MD,SALISBURY      ,SALISBURY                     ,,SBY ,,,,,,,,,,,,,,,,SBY ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200921,20201020,1,N,,,,,,80,,62,207,,,,"ON NOVEMBER 26, 2019 AT 16:15 A PILOT LANDED HIS PIPER PA-24 AIRPLANE ON RUNWAY 23 AT SALISBURY, MD (SBY) WITH HIS ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19481227,, ,
20191124023359I,I,135,   , ,2019,11,24,20191124,1557,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,224519,2335, , , , ,1821,BELL  ,206-L4      ,      ,        ,  ,STRD,4272,* ,  ,ROLLS-,250-C30P     ,CAE-89,        ,  ,     ,CE,CE03,TN,PORTLAND       ,,,,,,36 35N,86 35W,,,,,,,,,,,,,,,,,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,20201020,,,20200921,20201020,F3,N,,,,,,1773,,30,1773,,,,11/24/2019 AT APPROXIMATELY 15:57 CDT AIRCRAFT N1821 HAD ENGINE LOSS OF POWER AND MADE A PRECAUTIONARY LANDING IN P,AIR EVAC EMS                  ,  ,EVCA,           ,  ,    ,      ,                    ,73, , , ,  , , , ,  ,CR,N, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,7310,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19880615,, ,
20190816023519A,A,91,   , ,2019,8,16,20190816,1213,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224558,2351, , , , ,433CT,FLIGHT,CT2K        ,      ,        ,  ,    ,580,* ,  ,ROTAX ,912ULS SERIES,      ,        ,  ,     ,NM,NM13,WA,HOOPER         ,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,20201028,,,20200915,20201028,F9,N,,,,,,150,,29,16600,,,,"PILOT WAS PARTICIPATING IN THE WASHINGTON PASSPORT PROGRAM, WHERE THEY FLY TO ALL THE AIRPORTS AND RECEIVE A STAMP.",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,S, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19361105,, ,
20190824023509A,A,91,   , ,2019,8,24,20190824,1616,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224557,2350, , , , ,173JE,AMERIC,AL3C-100    ,      ,        ,  ,    ,617,* ,  ,      ,             ,      ,        ,  ,     ,SW,SW19,TX,CHINA SPRING   ,CHINA SPRING                  ,,3T8 ,,,,,,,,,,,,,,,,3T8 ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201028,,,20200916,20201028,F3,N,,,,,,,,,1045,,,,"BASED ON NTX FSO INVESTIGATION, ON 08/24/2019 THE PILOT/CFI WHILE PROVIDING FLIGHT INSTRUCTION FROM ACT-WACO TX TO ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19750925,, ,
20190825023499A,A,91,   , ,2019,8,25,20190825,1250,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,224556,2349, , , , ,983WP,CIRRUS,SR22        ,      ,        ,  ,STRD,3858,* ,  ,CONT M,IO-550 SERIES,      ,        ,  ,     ,NM,NM07,CO,GLENWOOD SPRING,,,KGWS,,,,,,,,,,,,,,,,KGWS,,,,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201028,,,20200922,20201028,1,N,,,,,,155,,24,760,,,,"N983WP, EXPERIENCED A COLLAPSED NOSEGEAR DURING LANDING AT GLENWOOD SPRINGS MUNICIPAL AIRPORT (GWS), COLORADO. THE ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19550625,, ,
20190910023439A,A,91,   , ,2019,9,10,20190910,830,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224531,2343, , , , ,3816H,ERCOUP,415-C       ,      ,        ,  ,STRD,3870,* ,  ,CONT M,C85 SERIES   ,      ,        ,  ,     ,WP,WP07,AZ,MARICOPA       ,,,A39 ,,,,,,,,,,,,,,,,A39 ,,,,,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,20201021,,,20200928,20201021,,N,,,,,,,,,,,,,AIRCRAFT CRASHED AFTER TAKE OFF. BOTH PILOT OCCUPANTS SERIOUSLY INJURED.  EYEWITNESS STATED HE SAW THE AIRCRAFT ABO,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
20190727023529I,I,91,   , ,2019,7,27,20190727,1950,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224559,2352, , , , ,7071P,PIPER ,PA-24-250   ,      ,        ,  ,STRD,3859,* ,  ,LYCOMI,0-540 SERIES ,      ,        ,  ,     ,NM,NM09,OR,PENDLETON      ,PENDLETON                     ,26C ,KPDT,,,,,,,,,,,,,,DRY,,KPDT,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201028,,,20200916,20201028,3,N,,,,,,1000,,10,5632,,,,DESCRIPTION OF THE INCIDENT;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190726023549I,I,141,   , ,2019,7,26,20190726,1325,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,224561,2354, , , , ,9563A,CESSNA,172R        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,I0360 SER    ,      ,        ,  ,     ,EA,EA63,CT,OXFORD         ,OXFORD                        ,,OXC ,,,,,,,,,,,,,,,,OXC ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201028,,,20200916,20201028,XX,Y,,,,,,55,,43,55,,,,AIRCRAFT N9563A A CESSNA 172R TAXIED OFF THE END OF TAXIWAY ALPHA. THE AIRCRAFT VEERED OFF THE TAXIWAY AND STRUCK A,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19920614,, ,
20190716023559A,A,137,   , ,2019,7,16,20190716,1750,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,224562,2355, , , , ,124LA,ROBINS,R44 II      ,      ,        ,  ,MULT,,* ,  ,LYCOMI,IO-540-AE1A5 ,      ,        ,  ,     ,CE,CE01,IA,COUNCIL BLUFFS ,,,,,,41 14N,95 44W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20201028,,,20200915,20201028,3,N,,,,,,2000,,200,26000,,,,RECEIVED A PHONE CALL FROM THE REGIONAL OPERATIONS CENTER (ROC) AT 1829 (LOCAL TIME) ON 16 JULY 2019 OF A HELICOPTE,CEDAR RIDGE AVIATION          ,  ,4CDG,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TD,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Departure R,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19550926,, ,
